id,anime_name,rating,media_id
32281,Kimi no Na wa.,9.37,1
15335,Gintama 1: Kanketsu-hen - Yorozuya yo Eien Nare,9.1,1
28851,Koe no Katachi,9.05,1
199,Sen to Chihiro no Kamikakushi,8.93,1
12355,Ookami Kodomo no Ame to Yuki,8.84,1
164,Mononoke Hime,8.81,1
7311,Suzumiya Haruhi no Shoushitsu,8.81,1
28957,Mushishi Zoku Shou: Suzu no Shizuku,8.75,1
431,Howl no Ugoku Shiro,8.74,1
31757,Kizumonogatari II: Nekketsu-hen,8.73,1
4282,Kara no Kyoukai 5: Mujun Rasen,8.68,1
4565,Tengen Toppa Gurren Lagann 1: Lagann-hen,8.64,1
11577,Steins;Gate 1: Fuka Ryouiki no Dﾃｩjﾃ_ vu,8.61,1
10408,Hotarubi no Mori e,8.61,1
21899,Gintama: Yorinuki Gintama-san on Theater 2D,8.6,1
7472,Gintama 1: Shinyaku Benizakura-hen,8.59,1
28805,Bakemono no Ko,8.58,1
578,Hotaru no Haka,8.58,1
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),8.57,1
18617,Girls und Panzer der Film,8.55,1
30346,Doukyuusei (1),8.53,1
3784,Evangelion: 2.0 You Can (Not) Advance,8.53,1
11981,Mahou Shoujo Madoka笘⑭agica 1 3: Hangyaku no Monogatari,8.5,1
11979,Mahou Shoujo Madoka笘⑭agica 1 2: Eien no Monogatari,8.49,1
523,T3ri no Totoro,8.48,1
572,Kaze no Tani no Nausicaﾃ､,8.47,1
9260,Kizumonogatari I: Tekketsu-hen,8.45,1
32,Neon Genesis Evangelion: The End of Evangelion,8.45,1
2236,Toki wo Kakeru Shoujo,8.44,1
2418,Stranger: Mukou Hadan,8.43,1
1365,Detective C3n 1 06: The Phantom of Baker Street,8.42,1
4155,One Piece Film: Strong World,8.42,1
5,Cowboy Bebop: Tengoku no Tobira,8.4,1
12859,One Piece Film: Z,8.39,1
5460,Detective C3n 1 13: The Raven Chaser,8.38,1
513,Tenkuu no Shiro Laputa,8.38,1
16664,Kaguya-hime no Monogatari,8.37,1
16782,Kotonoha no Niwa,8.35,1
28675,Kyoukai no Kanata 1: I&#039;ll Be Here - Mirai-hen,8.35,1
21557,Omoide no Marnie,8.35,1
43,Ghost in the Shell,8.34,1
9617,K-On! 1,8.34,1
10153,Mahou Shoujo Lyrical Nanoha: The 1 2nd A&#039;s,8.34,1
1033,Sennen Joyuu,8.34,1
12115,Berserk: Ougon Jidai-hen III - Kourin,8.33,1
6675,Redline,8.33,1
32005,Detective C3n 1 20: The Darkest Nightmare,8.32,1
28725,Kokoro ga Sakebitagatterunda.,8.32,1
585,Mimi wo Sumaseba,8.32,1
31490,One Piece Film: Gold,8.32,1
759,Tokyo Godfathers,8.32,1
11977,Mahou Shoujo Madoka笘⑭agica 1 1: Hajimari no Monogatari,8.31,1
5681,Summer Wars,8.3,1
6467,Detective C3n 1 14: The Lost Ship in the Sky,8.29,1
372,Cardcaptor Sakura 1 2: Fuuin Sareta Card,8.28,1
512,Majo no Takkyuubin,8.27,1
5365,Tsumiki no Ie,8.27,1
7465,Eve no Jikan (1),8.26,1
1364,Detective C3n 1 05: Countdown to Heaven,8.25,1
16662,Kaze Tachinu,8.24,1
1367,Detective C3n 1 08: Magician of the Silver Sky,8.23,1
437,Perfect Blue,8.23,1
12477,Sakasama no Patema,8.23,1
4107,Tengen Toppa Gurren Lagann 1: Gurren-hen,8.22,1
1506,Detective C3n 1 10: Requiem of the Detectives,8.21,1
2759,Evangelion: 1.0 You Are (Not) Alone,8.21,1
3016,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,8.21,1
3783,Kara no Kyoukai 3: Tsuukaku Zanryuu,8.21,1
1430,Lupin III: Cagliostro no Shiro,8.2,1
20371,Sekaiichi Hatsukoi 1: Yokozawa Takafumi no Baai,8.2,1
15039,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. 1,8.19,1
24997,Love Live! The School Idol 1,8.18,1
21419,Detective C3n 1 18: The Sniper from Another Dimension,8.17,1
31149,Pers3 3 the 1 4: Winter of Rebirth,8.17,1
781,Detective C3n 1 03: The Last Wizard of the Century,8.16,1
1363,Detective C3n 1 04: Captured in Her Eyes,8.16,1
5029,Major 1: Yuujou no Winning Shot,8.16,1
21647,Tamako Love Story,8.16,1
47,Akira,8.15,1
30415,High笘㎲peed!: Free! Starting Days,8.15,1
1943,Paprika,8.15,1
20815,Sekaiichi Hatsukoi: Valentine-hen,8.14,1
9963,Detective C3n 1 15: Quarter of Silence,8.13,1
32551,Digimon Adventure tri. 3: Kokuhaku,8.13,1
14807,Kara no Kyoukai: Mirai Fukuin,8.13,1
9204,Omae Umasou da na,8.13,1
24921,Aoki Hagane no Arpeggio: Ars N4 Cadenza,8.12,1
4672,Ghost in the Shell 2.0,8.12,1
21469,Stand By Me Doraemon,8.12,1
29831,Tamayura: Sotsugyou Shashin Part 4 - Ashita,8.1,1
2154,Tekkon Kinkreet,8.11,1
1689,Byousoku 5 Centimeter,8.1,1
7711,Karigurashi no Arrietty,8.1,1
12113,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,8.09,1
3014,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,8.09,1
1089,Macross: Do You Remember Love?,8.09,1
4106,Trigun: Badlands Rumble,8.08,1
8142,Colorful (1),8.06,1
7222,Macross F 1 2: Say3ra no Tsubasa,8.06,1
2623,Flanders no Inu (1),8.05,1
4280,Kara no Kyoukai 4: Garan no Dou,8.05,1
18429,Lupin III vs. Detective C3n: The 1,8.05,1
14353,Death Billiards,8.04,1
4985,Mahou Shoujo Lyrical Nanoha: The 1 1st,8.04,1
793,xxxHOLiC 1: Manatsu no Yoru no Yume,8.04,1
28755,Boruto: Naruto the 1,8.03,1
10029,Coquelicot-zaka kara,8.03,1
416,Kurenai no Buta,8.03,1
13119,Hakuouki 1 2: Shikon Soukyuu,8.03,1
3782,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),8.02,1
12017,Tiger &amp; Bunny 1 2: The Rising,8.01,1
780,Detective C3n 1 02: The Fourteenth Target,8,1
14349,Little Witch Academia,8,1
9465,Break Blade 4: Sanka no Chi,7.99,1
14175,Hanasaku Iroha: Home Sweet Home,7.99,1
2753,Ushiro no Shoumen Daare,7.99,1
779,Detective C3n 1 01: The Timed Skyscraper,7.98,1
1366,Detective C3n 1 07: Crossroad in the Ancient Capital,7.98,1
187,Initial D Third Stage,7.98,1
597,Neko no Ongaeshi,7.98,1
12917,Madang-Eul Naon Amtalg,7.97,1
15771,Saint笘㎗niisan (1),7.97,1
11001,Toshokan Sensou: Kakumei no Tsubasa,7.96,1
9724,Break Blade 5: Shisen no Hate,7.96,1
21339,Psycho-Pass 1,7.95,1
543,Vampire Hunter D (2000),7.95,1
9252,Break Blade 3: Kyoujin no Ato,7.94,1
1505,Detective C3n 1 09: Strategy Above the Depths,7.94,1
4447,Detective C3n 1 12: Full Score of Fear,7.94,1
317,Final Fantasy VII: Advent Children,7.94,1
13117,Hakuouki 1 1: Kyoto Ranbu,7.94,1
16904,K: Missing Kings,7.94,1
2273,Mobile Suit Gundam Wing: Endless Waltz 1,7.94,1
2890,Gake no Ue no Ponyo,7.93,1
468,Ghost in the Shell 2: Innocence,7.93,1
29755,Haikyuu!! 1 1: Owari to Hajimari,7.94,1
5310,Macross F 1 1: Itsuwari no Utahime,7.93,1
2265,Transformers the 1,7.93,1
23249,Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,7.93,1
10090,Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,7.91,1
1824,Hadashi no Gen,7.92,1
19489,Little Witch Academia: Mahoujikake no Parade,7.92,1
19613,New Initial D 1: Legend 1 - Kakusei,7.92,1
10218,Berserk: Ougon Jidai-hen I - Haou no Tamago,7.91,1
1379,Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.,7.91,1
23293,Lupin the IIIrd: Jigen Daisuke no Bohyou,7.91,1
33221,Mobile Suit Gundam Thunderbolt: December Sky,7.92,1
1961,Arashi no Yoru ni,7.9,1
2761,Densetsu Kyojin Ideon: Hatsudou-hen,7.9,1
28881,New Initial D 1: Legend 2 - Tousou,7.9,1
21473,Pers3 3 the 1 2: Midsummer Knight&#039;s Dream,7.9,1
451,InuYasha: Tenka Hadou no Ken,7.89,1
433,"Kumo no Mukou, Yakusoku no Basho",7.89,1
1092,Mobile Suit Gundam III: Encounters in Space,7.89,1
1921,Urusei Yatsura 1 2: Beautiful Dreamer,7.89,1
11737,Ao no Exorcist 1,7.88,1
875,Mind Game,7.88,1
29830,Tamayura: Sotsugyou Shashin Part 3 - Akogare,7.88,1
16870,The Last: Naruto the 1,7.88,1
15197,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,7.87,1
570,Jin-Rou,7.87,1
2175,Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,7.87,1
2594,Piano no Mori,7.87,1
9790,Sora no Otoshimono: Tokeijikake no Angeloid,7.87,1
8514,Break Blade 2: Ketsubetsu no Michi,7.86,1
12117,Detective C3n 1 16: The Eleventh Striker,7.86,1
19115,Gi4nni no Shima,7.86,1
29829,Tamayura: Sotsugyou Shashin Part 2 - Hibiki,7.85,1
30868,Ajin Part 1: Shoudou,7.84,1
14735,Detective C3n 1 17: Private Eye in the Distant Sea,7.84,1
1462,Memories,7.84,1
13667,Naruto: Shippuuden 1 6 - Road to Ninja,7.84,1
30413,Yowamushi Pedal 1,7.84,1
33082,Kingsglaive: Final Fantasy XV,7.83,1
1096,Mobile Police Patlabor 2: The 1,7.83,1
14407,Pers3 3 the 1 1: Spring of Birth,7.83,1
10092,Break Blade 6: Doukoku no Toride,7.82,1
9785,Detective C3n: C3n vs. Kid - Shark &amp; Jewel,7.82,1
1211,Macross Plus 1 Edition,7.82,1
2397,Digimon Adventure: Bokura no War Game!,7.81,1
9760,Hoshi wo Ou Kodomo,7.81,1
2593,Kara no Kyoukai 1: Fukan Fuukei,7.81,1
2454,Kimagure Orange笘㎳oad: Ano Hi ni Kaeritai,7.81,1
87,Mobile Suit Gundam: Char&#039;s Counterattack,7.81,1
30364,Haikyuu!! 1 2: Shousha to Haisha,7.81,1
22819,Aikatsu! 1,7.79,1
6772,Break Blade 1: Kakusei no Toki,7.79,1
2450,Crayon Shin-chan 1 09: Arashi wo Yobu Mouretsu! Ot3 Teikoku no Gyakushuu,7.79,1
6927,Higashi no Eden Soushuuhen: Air Communication,7.79,1
30952,New Initial D 1: Legend 3 - Mugen,7.79,1
6046,Tales of Vesperia: The First Strike,7.79,1
9000,Toaru Hikuushi e no Tsuioku,7.79,1
10717,Towa no Quon 6: Towa no Quon,7.79,1
531,Bishoujo Senshi Sailor Moon R: The 1,7.78,1
6637,Higashi no Eden 1 II: Paradise Lost,7.78,1
10389,Momo e no Tegami,7.78,1
2499,Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,7.78,1
32108,Digimon Adventure tri. 2: Ketsui,7.77,1
3603,JoJo no Kimyou na Bouken: Phantom Blood,7.77,1
464,One Piece 1 6: Omatsuri Danshaku to Himitsu no Shima,7.77,1
9745,Sengoku Basara 1: The Last Party,7.77,1
997,Bishoujo Senshi Sailor Moon S: Kaguya Hime no Koibito,7.76,1
28479,Detective C3n 1 19: The Hellfire Sunflowers,7.77,1
1301,Ginga Tetsudou 999 (1),7.76,1
462,One Piece 1 4: Dead End no Bouken,7.76,1
10715,Towa no Quon 4: Guren no Shoushin,7.76,1
8247,Bleach 1 4: Jigoku-hen,7.75,1
450,InuYasha: Kagami no Naka no Mugenjo,7.75,1
6624,Kara no Kyoukai Remix: Gate of Seventh Heaven,7.75,1
25015,Kyoukai no Kanata 1: I&#039;ll Be Here - Kako-hen,7.75,1
23777,Shingeki no Kyojin 1 2: Jiyuu no Tsubasa,7.75,1
371,Cardcaptor Sakura 1 1,7.74,1
430,Fullmetal Alchemist: The Conqueror of Shamballa,7.74,1
16528,Hal,7.74,1
9288,Heartcatch Precure! 1: Hana no Miyako de Fashion Show... Desu ka!?,7.74,1
6372,Higashi no Eden 1 I: The King of Eden,7.74,1
2313,Muumindani no Suisei,7.74,1
24543,Pers3 3 the 1 3: Falling Down,7.74,1
11531,UN-GO: Inga-ron,7.74,1
10534,Doraemon 1 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,7.73,1
33513,Ansatsu Kyoushitsu: 365-nichi no Jikan,7.72,1
905,Dragon Ball Z 1 12: Fukkatsu no Fusion!! Gokuu to Vegeta,7.72,1
5204,Kara no Kyoukai 6: Boukyaku Rokuon,7.72,1
1034,Ouritsu Uchuugun: Honneamise no Tsubasa,7.72,1
10716,Towa no Quon 5: Souzetsu no Raifuku,7.72,1
1924,Urusei Yatsura 1 5: Final,7.72,1
3785,Evangelion: 3.0 You Can (Not) Redo,7.71,1
10999,Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon,7.71,1
10500,Ojiisan no Lamp,7.71,1
11743,Toaru Majutsu no Index: Endymion no Kiseki,7.71,1
12049,Fairy Tail 1 1: Houou no Miko,7.7,1
6152,Final Fantasy VII: Advent Children - Venice Film Festival Footage,7.7,1
19191,Ghost in the Shell: Arise - Border:2 Ghost Whispers,7.7,1
23775,Shingeki no Kyojin 1 1: Guren no Yumiya,7.7,1
9751,Strike Witches 1,7.7,1
2202,Waga Seishun no Arcadia,7.7,1
452,InuYasha: Toki wo Koeru Omoi,7.69,1
32869,Kuroko no Basket 1 1: Winter Cup Soushuuhen - Kage to Hikari,7.69,1
6172,Layton Kyouju to Eien no Utahime,7.69,1
2498,Slam Dunk: Shouhoku Saidai no Kiki! Moero Sakuragi Hanamichi,7.69,1
25729,Tamayura: Sotsugyou Shashin Part 1 - Kizashi,7.69,1
14669,Aura: Maryuuin Kouga Saigo no Tatakai,7.67,1
27411,Ghost in the Shell (2015),7.67,1
617,Juubee Ninpuuchou,7.67,1
4835,Bleach 1 3: Fade to Black - Kimi no Na wo Yobu,7.66,1
8888,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,7.66,1
9786,Detective C3n: C3n vs. Kid - Jet Black Sniper,7.66,1
25687,Digimon Adventure tri. 1: Saikai,7.66,1
5290,Keroro Gunsou 1 3: Tenkuu Daikessen de Arimasu!,7.66,1
528,Pokemon: Mewtwo no Gyakushuu,7.66,1
1861,Slam Dunk: Zenkoku Seiha Da! Sakuragi Hanamichi,7.66,1
17437,The iDOLM@STER 1: Kagayaki no Mukougawa e!,7.66,1
304,Aa! Megami-sama! 1,7.65,1
2673,Doraemon 1 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai,7.65,1
2848,Kappa no Coo to Natsuyasumi,7.65,1
15813,Majokko Shimai no Yoyo to Nene,7.65,1
3848,"One Piece 1 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",7.65,1
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.65,1
17187,Ghost in the Shell: Arise - Border:1 Ghost Pain,7.64,1
7651,Ningen Shikkaku: Director&#039;s Cut-ban,7.64,1
1029,Omoide Poroporo,7.64,1
10714,Towa no Quon 3: Mugen no Renza,7.64,1
6408,&quot;Bungaku Shoujo&quot; 1,7.63,1
2174,Hokuto no Ken: Raoh Gaiden Gekitou-hen,7.63,1
8100,Mardock Scramble: The First Compression,7.63,1
