user_id,item_id,rank
1,311,1.0
1,312,2.0
1,313,3.0
1,314,4.0
1,345,5.0
1,455,6.0
1,582,7.0
1,673,8.0
1,708,9.0
1,951,10.0
1,975,11.0
1,1072,12.0
1,1084,13.0
1,1264,14.0
1,1418,15.0
1,1655,16.0
1,1757,17.0
1,2252,18.0
1,2313,19.0
1,2334,20.0
1,2405,21.0
1,2488,22.0
1,2525,23.0
1,2542,24.0
1,2555,25.0
1,2570,26.0
1,2577,27.0
1,2648,28.0
1,2649,29.0
1,2651,30.0
2,311,1.0
2,312,2.0
2,313,3.0
2,314,4.0
2,345,5.0
2,455,6.0
2,582,7.0
2,673,8.0
2,708,9.0
2,951,10.0
2,975,11.0
2,1072,12.0
2,1084,13.0
2,1264,14.0
2,1418,15.0
2,1655,16.0
2,1757,17.0
2,2252,18.0
2,2313,19.0
2,2334,20.0
2,2405,21.0
2,2488,22.0
2,2525,23.0
2,2542,24.0
2,2555,25.0
2,2570,26.0
2,2577,27.0
2,2648,28.0
2,2649,29.0
2,2651,30.0
3,311,1.0
3,312,2.0
3,313,3.0
3,314,4.0
3,345,5.0
3,455,6.0
3,582,7.0
3,673,8.0
3,708,9.0
3,951,10.0
3,975,11.0
3,1072,12.0
3,1084,13.0
3,1264,14.0
3,1418,15.0
3,1655,16.0
3,1757,17.0
3,2252,18.0
3,2313,19.0
3,2334,20.0
3,2405,21.0
3,2488,22.0
3,2525,23.0
3,2542,24.0
3,2555,25.0
3,2570,26.0
3,2577,27.0
3,2648,28.0
3,2649,29.0
3,2651,30.0
4,311,1.0
4,312,2.0
4,313,3.0
4,314,4.0
4,345,5.0
4,455,6.0
4,582,7.0
4,673,8.0
4,708,9.0
4,951,10.0
4,975,11.0
4,1072,12.0
4,1084,13.0
4,1264,14.0
4,1418,15.0
4,1655,16.0
4,1757,17.0
4,2252,18.0
4,2313,19.0
4,2334,20.0
4,2405,21.0
4,2488,22.0
4,2525,23.0
4,2542,24.0
4,2555,25.0
4,2570,26.0
4,2577,27.0
4,2648,28.0
4,2649,29.0
4,2651,30.0
5,164,1.0
5,311,2.0
5,312,3.0
5,313,4.0
5,314,5.0
5,345,6.0
5,455,7.0
5,582,8.0
5,673,9.0
5,708,10.0
5,951,11.0
5,975,12.0
5,1072,13.0
5,1084,14.0
5,1264,15.0
5,1418,16.0
5,1535,17.0
5,1575,18.0
5,1655,19.0
5,1757,20.0
5,2252,21.0
5,2313,22.0
5,2334,23.0
5,2405,24.0
5,2488,25.0
5,2525,26.0
5,2542,27.0
5,2555,28.0
5,2570,29.0
5,2577,30.0
6,311,1.0
6,312,2.0
6,313,3.0
6,314,4.0
6,345,5.0
6,455,6.0
6,582,7.0
6,673,8.0
6,708,9.0
6,951,10.0
6,975,11.0
6,1072,12.0
6,1084,13.0
6,1264,14.0
6,1418,15.0
6,1655,16.0
6,1757,17.0
6,2252,18.0
6,2313,19.0
6,2334,20.0
6,2405,21.0
6,2488,22.0
6,2525,23.0
6,2542,24.0
6,2555,25.0
6,2570,26.0
6,2577,27.0
6,2648,28.0
6,2649,29.0
6,2651,30.0
7,311,1.0
7,312,2.0
7,313,3.0
7,314,4.0
7,345,5.0
7,455,6.0
7,582,7.0
7,673,8.0
7,708,9.0
7,951,10.0
7,975,11.0
7,1072,12.0
7,1084,13.0
7,1264,14.0
7,1418,15.0
7,1655,16.0
7,1757,17.0
7,2252,18.0
7,2313,19.0
7,2334,20.0
7,2405,21.0
7,2488,22.0
7,2525,23.0
7,2542,24.0
7,2555,25.0
7,2570,26.0
7,2577,27.0
7,2648,28.0
7,2649,29.0
7,2651,30.0
8,311,1.0
8,312,2.0
8,313,3.0
8,314,4.0
8,345,5.0
8,455,6.0
8,582,7.0
8,673,8.0
8,708,9.0
8,951,10.0
8,975,11.0
8,1072,12.0
8,1084,13.0
8,1264,14.0
8,1418,15.0
8,1655,16.0
8,1757,17.0
8,2252,18.0
8,2313,19.0
8,2334,20.0
8,2405,21.0
8,2488,22.0
8,2525,23.0
8,2542,24.0
8,2555,25.0
8,2570,26.0
8,2577,27.0
8,2648,28.0
8,2649,29.0
8,2651,30.0
10,311,1.0
10,312,2.0
10,313,3.0
10,314,4.0
10,345,5.0
10,455,6.0
10,582,7.0
10,673,8.0
10,708,9.0
10,951,10.0
10,975,11.0
10,1072,12.0
10,1084,13.0
10,1264,14.0
10,1418,15.0
10,1655,16.0
10,1757,17.0
10,2252,18.0
10,2313,19.0
10,2334,20.0
10,2405,21.0
10,2488,22.0
10,2525,23.0
10,2542,24.0
10,2555,25.0
10,2570,26.0
10,2577,27.0
10,2648,28.0
10,2649,29.0
10,2651,30.0
11,311,1.0
11,312,2.0
11,313,3.0
11,314,4.0
11,345,5.0
11,455,6.0
11,582,7.0
11,673,8.0
11,708,9.0
11,951,10.0
11,975,11.0
11,1072,12.0
11,1084,13.0
11,1264,14.0
11,1418,15.0
11,1655,16.0
11,1757,17.0
11,2252,18.0
11,2313,19.0
11,2334,20.0
11,2405,21.0
11,2488,22.0
11,2525,23.0
11,2542,24.0
11,2555,25.0
11,2570,26.0
11,2577,27.0
11,2648,28.0
11,2649,29.0
11,2651,30.0
12,311,1.0
12,312,2.0
12,313,3.0
12,314,4.0
12,345,5.0
12,455,6.0
12,582,7.0
12,673,8.0
12,708,9.0
12,951,10.0
12,975,11.0
12,1072,12.0
12,1084,13.0
12,1264,14.0
12,1418,15.0
12,1655,16.0
12,1757,17.0
12,2252,18.0
12,2313,19.0
12,2334,20.0
12,2405,21.0
12,2488,22.0
12,2525,23.0
12,2542,24.0
12,2555,25.0
12,2570,26.0
12,2577,27.0
12,2648,28.0
12,2649,29.0
12,2651,30.0
13,311,1.0
13,312,2.0
13,313,3.0
13,314,4.0
13,345,5.0
13,455,6.0
13,582,7.0
13,673,8.0
13,708,9.0
13,951,10.0
13,975,11.0
13,1072,12.0
13,1084,13.0
13,1264,14.0
13,1418,15.0
13,1655,16.0
13,1757,17.0
13,2252,18.0
13,2313,19.0
